TestBubbleSort
non
0,
500,3.68961,1.19629,1.20846
1000,14.43,4.47953,4.52553
1500,32.6446,10.22,10.2857
2000,58.0249,18.3116,18.4982
2500,90.1327,28.1579,28.4331
3000,129.803,40.4055,40.8412
3500,176.434,54.3565,54.9458
4000,229.564,71.0681,72.5662
4500,293.416,92.0167,93.3677
5000,361.202,112.292,113.688
5500,
